id,source,formula,weight,uid,title,specimen_name,unit,cluster_membership
PAHdb_430,PAHdb,C6H6O,94.04186000,430,,,,
PAHdb_428,PAHdb,C6H6O,94.04186000,428,,,,
PAHdb_431,PAHdb,C6H6O+,94.04186000,431,,,,
PAHdb_429,PAHdb,C6H6O+,94.04186000,429,,,,
PAHdb_432,PAHdb,C6H7O+,95.04968500,432,,,,
PAHdb_493,PAHdb,C9H7,115.05477500,493,,,,
PAHdb_495,PAHdb,C9H8,116.06260000,495,,,,
PAHdb_485,PAHdb,C9H7N,129.05784500,485,,,,
PAHdb_483,PAHdb,C9H7N,129.05784500,483,,,,
PAHdb_494,PAHdb,C9H7+,115.05477500,494,,,,
PAHdb_496,PAHdb,C9H8+,116.06260000,496,,,,
PAHdb_486,PAHdb,C9H7N+,129.05784500,486,,,,
PAHdb_484,PAHdb,C9H7N+,129.05784500,484,,,,
PAHdb_4415,PAHdb,C9H7+2,115.05477500,4415,,,,
PAHdb_4416,PAHdb,C9H8+2,116.06260000,4416,,,,
PAHdb_382,PAHdb,C10H8-,128.06260000,382,,,,
PAHdb_384,PAHdb,C10H9-,129.07042500,384,,,,
PAHdb_383,PAHdb,C10H9-,129.07042500,383,,,,
PAHdb_511,PAHdb,C10H7,127.05477500,511,,,,
PAHdb_509,PAHdb,C10H7,127.05477500,509,,,,
PAHdb_523,PAHdb,C10H7O,143.04968500,523,,,,
PAHdb_426,PAHdb,C10H6O2,158.03677000,426,,,,
PAHdb_330,PAHdb,C10H8,128.06260000,330,,,,
PAHdb_527,PAHdb,C10H8N,142.06567000,527,,,,
PAHdb_499,PAHdb,C10H8O,144.05751000,499,,,,
PAHdb_497,PAHdb,C10H8O,144.05751000,497,,,,
PAHdb_376,PAHdb,C10H9,129.07042500,376,,,,
PAHdb_375,PAHdb,C10H9,129.07042500,375,,,,
PAHdb_475,PAHdb,C10H9N,143.07349500,475,,,,
PAHdb_473,PAHdb,C10H9N,143.07349500,473,,,,
PAHdb_424,PAHdb,C10H8O2,160.05242000,424,,,,
PAHdb_422,PAHdb,C10H8O2,160.05242000,422,,,,
PAHdb_420,PAHdb,C10H8O2,160.05242000,420,,,,
PAHdb_418,PAHdb,C10H8O2,160.05242000,418,,,,
PAHdb_331,PAHdb,C10H10,130.07825000,331,,,,
PAHdb_410,PAHdb,C10H9O2,161.06024500,410,,,,
PAHdb_409,PAHdb,C10H9O2,161.06024500,409,,,,
PAHdb_408,PAHdb,C10H9O2,161.06024500,408,,,,
PAHdb_407,PAHdb,C10H9O2,161.06024500,407,,,,
PAHdb_406,PAHdb,C10H9O2,161.06024500,406,,,,
PAHdb_405,PAHdb,C10H9O2,161.06024500,405,,,,
PAHdb_404,PAHdb,C10H9O2,161.06024500,404,,,,
PAHdb_403,PAHdb,C10H9O2,161.06024500,403,,,,
PAHdb_402,PAHdb,C10H9O2,161.06024500,402,,,,
PAHdb_401,PAHdb,C10H9O2,161.06024500,401,,,,
PAHdb_400,PAHdb,C10H9O2,161.06024500,400,,,,
PAHdb_399,PAHdb,C10H9O2,161.06024500,399,,,,
PAHdb_332,PAHdb,C10H12,132.09390000,332,,,,
PAHdb_333,PAHdb,C10H16,136.12520000,333,,,,
PAHdb_353,PAHdb,C10H18,138.14085000,353,,,,
PAHdb_352,PAHdb,C10H18,138.14085000,352,,,,
PAHdb_512,PAHdb,C10H7+,127.05477500,512,,,,
PAHdb_510,PAHdb,C10H7+,127.05477500,510,,,,
PAHdb_524,PAHdb,C10H7O+,143.04968500,524,,,,
PAHdb_427,PAHdb,C10H6O2+,158.03677000,427,,,,
PAHdb_359,PAHdb,C10H8+,128.06260000,359,,,,
PAHdb_528,PAHdb,C10H8N+,142.06567000,528,,,,
PAHdb_500,PAHdb,C10H8O+,144.05751000,500,,,,
PAHdb_498,PAHdb,C10H8O+,144.05751000,498,,,,
PAHdb_14,PAHdb,C10H9+,129.07042500,14,,,,
PAHdb_13,PAHdb,C10H9+,129.07042500,13,,,,
PAHdb_12,PAHdb,C10H10+,130.07825000,12,,,,
PAHdb_476,PAHdb,C10H9N+,143.07349500,476,,,,
PAHdb_474,PAHdb,C10H9N+,143.07349500,474,,,,
PAHdb_425,PAHdb,C10H8O2+,160.05242000,425,,,,
PAHdb_423,PAHdb,C10H8O2+,160.05242000,423,,,,
PAHdb_421,PAHdb,C10H8O2+,160.05242000,421,,,,
PAHdb_419,PAHdb,C10H8O2+,160.05242000,419,,,,
PAHdb_417,PAHdb,C10H9O2+,161.06024500,417,,,,
PAHdb_416,PAHdb,C10H9O2+,161.06024500,416,,,,
PAHdb_415,PAHdb,C10H9O2+,161.06024500,415,,,,
PAHdb_414,PAHdb,C10H9O2+,161.06024500,414,,,,
